SEC ID,2010,2011,2012,2013,2014,2015,2016
1003130,,18811000.000,18982000.000,19199000.000,,,
1133116,,,,,,,
912513,,49003000.000,46786000.000,40184000.000,73375000.000,,
1101026,,,,,,,
23197,,32623000.000,25991000.000,23064000.000,20906000.000,16418000.000,16972000.000
1431880,,,,,,,
1540615,,,,,,,
1456137,,,,,,,
1069258,,27400000.000,46900000.000,,,58700000.000,61300000.000
887936,,43473000.000,40316000.000,39188000.000,40729000.000,41729000.000,41709000.000
70487,,6842000.000,6951000.000,,,,
13055,,,,,,,
946486,,22660000.000,39396000.000,55258000.000,86025000.000,6967000.000,8328000.000
36146,,64261000.000,64851000.000,67073000.000,67594000.000,67692000.000,67784000.000
1393631,,,,,,,
1377013,,335300000.000,312400000.000,291700000.000,283000000.000,285900000.000,
814549,,40889000.000,39100000.000,38642000.000,38040000.000,34901000.000,32863000.000
1276477,,,,,,,
764038,,13751000.000,14796000.000,20077000.000,24154000.000,24224000.000,24219000.000
1610853,,,,,,67026545.000,
1582554,,,,,,,
1459188,,,,,,,
1005409,,,34364453.000,35306272.000,35948516.000,36322333.000,36764086.000
1622057,,,,,,,23678346.000
1175108,,,,,,,
927761,,,,,,,
937834,,,,,,,
1320729,,,,,,,
860131,,,,,44103635.000,19117511.000,19920325.000
1329799,,,,,29101000.000,,
77877,,23871000.000,27677000.000,32426000.000,36678000.000,39153000.000,49052000.000
1267391,,,,,,,
1040130,,20708000.000,20049000.000,20043000.000,20136000.000,20254.000,20378000.000
1484565,,,,,,,
1287668,,,,,,,
1262449,,,,,,,
1270400,,316100000.000,330800000.000,,,,
1077688,10770.000,10790000.000,10775000.000,10752000.000,10771000.000,10807000.000,11563000.000
1140184,,,,,,,
1361937,,,,,,,
1426800,,,,,,,
1269879,,,,,,,
889331,,22255000.000,22098000.000,22537000.000,22727000.000,22719000.000,22727000.000
1034669,,8904000.000,8948000.000,,,,
1416729,,,,,,,
1020214,,48050000.000,55061000.000,67569000.000,76534000.000,96905000.000,101826000.000
95552,,,27330000.000,27531000.000,27020000.000,26633000.000,25539000.000
1501268,,,,,,,
1040570,,22788000.000,,,,,
1269022,,,,,,,
1594420,,,,,,,
1324482,,,,,,,
1502777,,,,,,,
911109,,44569000.000,45102000.000,46096000.000,46725000.000,45460000.000,44390000.000
1402186,,,,,,,
1549848,,,,,,,
931058,,56741000.000,54130000.000,55639000.000,,,
1563004,,,,,,,
1546381,,,,,,,
1487952,,13834000.000,13889000.000,13944000.000,13977000.000,13485000.000,13419000.000
1287701,,50990163.000,51976462.000,61500847.000,107750340.000,,
883107,,,,,,,
1084869,,,66239000.000,66460000.000,67602000.000,,67083000.000
1443157,,,,,,,
1145765,,,,,,,
1069157,,153467000.000,147175000.000,139574000.000,143563000.000,144512000.000,145172000.000
1321732,,,,,,14219650.000,33478078.000
1579717,,,,,,,
1374310,,89994000.000,87460000.000,87331000.000,85406000.000,83081000.000,81432000.000
1126956,,22171000.000,22340000.000,25952000.000,35900000.000,43300000.000,44300000.000
72316,,113608523.000,114944800.000,,,,
1230634,,,,,,,
1451929,,,,,,,
1223112,,8020000.000,10013000.000,,,,
1511863,,,,,,,
1560443,,,,,,,
1022652,,32043000.000,,,,,
73605,,,,2196338.000,1431503.000,,
1598924,,,,,,207091563.000,395000000.000
1094058,,,,,,,
1555492,,,,,,,
1474627,,4514329.000,4601907.000,,,,
1392902,,,,,,,
1421636,,,,,,,
6494,,,,,,71929978.000,64785439.000
