SEC ID,Report date,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,ComprehensiveIncomeNetOfTax,EarningsPerShareDiluted,Goodwill,Liabilities,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,Revenues,WeightedAverageNumberOfDilutedSharesOutstanding
1329548,2012-09-30,150665.000,140989.000,,,0.030,,9822009.000,9822009.000,,,,-228319.000,3676.000,391662.000,136278453.000
1205727,2014-03-31,243405000.000,62988000.000,26265000.000,,-0.190,19814000.000,,59691000.000,-1864000.000,-12929000.000,12179000.000,-5430000.000,152014000.000,108537000.000,30586000.000
1555560,2013-11-30,236.000,,,,,,3867.000,,3650.000,,-3759.000,,,0.000,
1008848,2017-03-31,1319842000.000,248152000.000,133619000.000,-16502000.000,-0.410,278069000.000,643715000.000,119335000.000,5971000.000,-5849000.000,-25401000.000,-15273000.000,37132000.000,119386000.000,45808000.000
316793,2014-09-28,1585348000.000,1069869000.000,658989000.000,-1500000.000,0.360,52149000.000,249880000.000,222486000.000,1243000.000,8030000.000,65151000.000,17959000.000,377687000.000,286988000.000,72973000.000
820313,2017-03-31,8707400000.000,3722400000.000,1242900000.000,291600000.000,0.710,3748700000.000,4956300000.000,1583300000.000,-53700000.000,8900000.000,237800000.000,314100000.000,726900000.000,,316400000.000
91741,2011-09-30,80913000.000,29803000.000,18973000.000,,,,,15430000.000,,,,1646000.000,43922000.000,20757000.000,
1590364,2017-03-31,1759098000.000,,221222000.000,445000.000,,116584000.000,622537000.000,,214287000.000,-78800000.000,17680000.000,,363775000.000,44673000.000,75762283.000
1174850,2017-03-31,2292644000.000,,44279000.000,,0.690,,2007131000.000,,-16982000.000,-74738000.000,6896000.000,,44275000.000,,8958425.000
1510775,2012-12-31,663691.000,384070.000,44577.000,,,,14881635.000,8217960.000,,,,-20655.000,154079.000,,
1010086,2017-03-31,160820485.000,65172653.000,30103574.000,,,898334.000,456959158.000,12561063.000,-193052.000,0.000,1594802.000,-4269170.000,263302.000,,
1557796,2015-11-30,142088.000,97890.000,2774.000,,,,2686066.000,2662941.000,57907.000,-11168.000,-44859.000,-67670.000,42201.000,19986.000,
1084384,2017-03-31,13101078.000,3857721.000,1409077.000,-1319960.000,-0.140,,16338364.000,12571493.000,1631274.000,-30924.000,-1238056.000,-1989541.000,8093252.000,2794943.000,9322228.000
1041024,2017-03-31,80456823.000,74750211.000,11899710.000,-4629516.000,-0.090,920745.000,,10391218.000,,-130430.000,-5151086.000,-4958094.000,1419651.000,,50686044.000
1395205,2012-02-29,14616592.000,81008.000,,,0.000,,,5200822.000,,,,111831.000,,,80969502.000
1605331,2017-05-31,676909.000,457285.000,404426.000,,,,,10792.000,,,,,,67968.000,
76334,2017-03-31,15325333000.000,4619154000.000,819563000.000,356984000.000,1.750,5508712000.000,10577607000.000,3048441000.000,,,,414634000.000,1945739000.000,3119139000.000,136102974.000
873540,2013-04-30,246175.000,246175.000,87900.000,,,,23158451.000,23158451.000,,,,-1337413.000,0.000,,
1068148,2017-03-31,1030400000.000,603300000.000,57900000.000,13900000.000,,87100000.000,782100000.000,278400000.000,11100000.000,-6100000.000,-2200000.000,22200000.000,171300000.000,343800000.000,
1667840,2017-03-31,113989000.000,,4946000.000,-78000.000,,,101258000.000,,4651000.000,-5267000.000,103000.000,,3458000.000,,763915.000
1596993,2017-03-31,1746234880.000,63971128.000,17018552.000,,,,770233162.000,85765014.000,,,,9244855.000,1603786595.000,47585174.000,
1364123,2013-05-31,9278.000,284.000,284.000,,,,1030884.000,,,,,-147711.000,8994.000,,
1576263,2017-03-31,110765000.000,107925000.000,29757000.000,-17775000.000,,,11649000.000,11282000.000,66816000.000,-41210000.000,-18232000.000,-18090000.000,638000.000,,
1421665,2013-04-30,17856.000,17856.000,,,,,2403163.000,2403163.000,,,,,0.000,0.000,
1630805,2017-03-31,1537840000.000,747495000.000,46270000.000,-1762000.000,-0.140,283714000.000,973745000.000,547212000.000,76044000.000,-52224000.000,-74762000.000,-8798000.000,147016000.000,391104000.000,48740000.000
1047862,2017-03-31,48365000000.000,3017000000.000,67000000.000,387000000.000,1.270,428000000.000,33859000000.000,3441000000.000,-320000000.000,-837000000.000,448000000.000,771000000.000,35663000000.000,3228000000.000,306300000.000
1416682,2011-09-30,808140.000,269156.000,,,,,4079816.000,4079816.000,917167.000,-114852.000,-930313.000,-1203223.000,20022.000,140862.000,
1415603,2012-03-31,327657.000,274437.000,122465.000,,,,2091067.000,2091067.000,,,,-217285.000,40260.000,246206.000,
1326321,2017-03-31,12539527.000,,663666.000,,,,,253828.000,,,230077.000,59794.000,,,
859163,2017-03-31,2477413000.000,1836404000.000,578634000.000,,0.200,213051000.000,260934000.000,216067000.000,,,,45078000.000,239951000.000,329578000.000,-335255000.000
1140486,2011-03-31,1192653000.000,783583000.000,153461000.000,,0.280,221961000.000,,151803000.000,16805000.000,-20374000.000,26309000.000,13465000.000,21084000.000,245349000.000,76032000.000
33113,2012-11-23,66923000.000,50093000.000,2227000.000,1154000.000,0.050,,43268000.000,18505000.000,,,,2687000.000,14634000.000,15148000.000,17317000.000
1039065,2017-03-31,1235737000.000,656567000.000,158472000.000,15731000.000,0.720,241727000.000,681425000.000,348226000.000,,,,19694000.000,161081000.000,245146000.000,19515000.000
94049,2017-06-30,1406739000.000,733429000.000,223818000.000,34423000.000,1.190,25063000.000,698040000.000,274392000.000,,,,38961000.000,587249000.000,495101000.000,23381000.000
1035201,2017-06-30,2533026000.000,170580000.000,29103000.000,,0.390,2615000.000,,361027000.000,,,,25259000.000,,,48020000.000
1417624,2012-06-30,78992000.000,50825000.000,11987000.000,658000.000,0.030,,37595000.000,36781000.000,,,,941000.000,25215000.000,22274000.000,20509123.000
1630212,2017-03-31,6275285.000,6251109.000,5431228.000,-589104.000,,,,3179864.000,3000000.000,-2000.000,412814.000,-492883.000,271.000,66286.000,
1485156,2014-10-31,1020.000,1020.000,0.000,,,,355516.000,332424.000,,,,-163587.000,,,
892342,2011-12-31,3220323.000,,3128418.000,,,,104090.000,,,,,,,3163.000,
17485,2015-09-30,62572000.000,29581000.000,9433000.000,,0.030,,28867000.000,16473000.000,,,,2871000.000,993000.000,21336000.000,-107472000.000
928340,2017-03-31,167183123.000,65787821.000,36532545.000,2631228.000,0.180,9784248.000,11471513.000,8956142.000,-725111.000,-140718.000,-1855742.000,2036376.000,52077467.000,15677106.000,15035219.000
1324404,2017-03-31,15185000000.000,2805000000.000,1312000000.000,-3000000.000,-0.100,2350000000.000,8802000000.000,853000000.000,-124000000.000,-85000000.000,356000000.000,57000000.000,9552000000.000,1037000000.000,233100000.000
1004980,2017-06-30,70055000000.000,6071000000.000,178000000.000,411000000.000,0.790,,51164000000.000,6948000000.000,,,,748000000.000,51636000000.000,4250000000.000,513000000.000
1208208,2017-06-30,2922200000.000,290600000.000,107300000.000,,0.030,578100000.000,1737100000.000,160700000.000,,,,15400000.000,1885600000.000,225700000.000,63300000.000
876427,2017-03-25,1185264000.000,199230000.000,8995000.000,11287000.000,0.290,501736000.000,604010000.000,185893000.000,,,,20090000.000,394634000.000,,-66635000.000
54473,2015-09-30,4503057000.000,,,3808000.000,,,3773217000.000,,,,,,16722000.000,112261000.000,
1434601,2017-02-28,60267.000,40648.000,24698.000,,,,1212449.000,1212449.000,,,,-143871.000,,777.000,
857737,2017-03-31,1896710000.000,604568000.000,109375000.000,6461000.000,-0.090,171250000.000,1344659000.000,539829000.000,-34919000.000,-771000.000,10549000.000,33610000.000,6446000.000,58722000.000,56964000.000
1455380,2012-11-30,4148.000,4148.000,,,,,,760179.000,,,,,,4218.000,
1652871,2017-03-31,7489.000,770.000,635.000,,,,8259.000,26467.000,,,,,,3300.000,2120000.000
1035983,2017-06-30,893155000.000,497169000.000,34465000.000,,0.480,203223000.000,496243000.000,375416000.000,,,,29265000.000,74539000.000,465411000.000,37705000.000
95779,2012-03-31,56192000.000,50553000.000,371000.000,,,,17712000.000,12290000.000,3430000.000,-80000.000,-3266000.000,-1445000.000,914000.000,,
801348,2016-09-30,,,,,,,,,,,,,,,
878802,2016-09-30,47057986.000,14638037.000,1511819.000,,,2004600.000,31399337.000,19120896.000,,,,,460322.000,15680384.000,106991504.000
882104,2017-03-31,1237773000.000,544019000.000,314327000.000,7241000.000,0.040,,474837000.000,275250000.000,-7668000.000,129059000.000,45782000.000,18505000.000,846000.000,45440000.000,163992000.000
791770,2015-09-30,809466000.000,64308000.000,28287000.000,1798000.000,0.060,174246000.000,458458000.000,23567000.000,,,,13021000.000,2710000.000,22981000.000,42106056.000
1326252,2012-05-31,378516.000,69879.000,,-20980.000,-0.000,,,7328775.000,10183.000,,-10235.000,-20980.000,60947.000,,
731012,2017-06-30,615746000.000,476183000.000,7058000.000,23153000.000,0.300,50473000.000,,146935000.000,,,,,13399000.000,,74269000.000
1186258,2017-03-31,13837000.000,,5740000.000,,,,1668000.000,,-3837000.000,603000.000,294000.000,,,867000.000,
823277,2017-05-31,17221797000.000,7000193000.000,267229000.000,-43443000.000,,153334000.000,9362841000.000,6689128000.000,,,,-230297000.000,5409151000.000,8614090000.000,
1326110,2017-03-31,303675000.000,195948000.000,13596000.000,-24471000.000,,,25306000.000,14201000.000,-468000.000,16038000.000,-10057000.000,-25464000.000,22558000.000,11000.000,
1172229,2012-03-31,305650799.000,,,496324.000,0.370,,280338511.000,,-1536614.000,6425678.000,1359602.000,,7346879.000,,1378574.000
1516479,2017-03-31,337596000.000,196936000.000,68373000.000,-6449000.000,-0.090,,69810000.000,61860000.000,654000.000,-20254000.000,-16669000.000,-12311000.000,46009000.000,35962000.000,71945743.000
1594879,2017-04-17,225552000.000,13274000.000,3030000.000,,-0.020,29528000.000,94678000.000,26366000.000,,,,2053000.000,174737000.000,67296000.000,19458921.000
1414767,2017-01-31,304618.000,44581.000,318.000,,0.000,,2572168.000,2572168.000,,,,,254037.000,736.000,509521739.000
1110361,2016-09-30,2573549.000,2535991.000,1638990.000,-38256.000,0.000,,50063.000,50063.000,,,,,31482.000,214413.000,24217865.000
1482080,2014-12-31,58830000.000,44201000.000,34408000.000,,,6817000.000,,13424000.000,,,,,3832000.000,6550000.000,
1429775,2013-09-30,2372525000.000,568179000.000,203207000.000,35357000.000,0.410,1109304000.000,1728346000.000,450230000.000,,,,63409000.000,121542000.000,,85984000.000
1496268,2017-03-31,4268000.000,2179000.000,1710000.000,,-0.110,,91525000.000,91275000.000,,-75000.000,-4889000.000,-6066000.000,2022000.000,,54344314.000
1510489,2011-09-30,120913632.000,57468879.000,26398259.000,9577462.000,0.210,,17382678.000,17056571.000,0.000,-4723797.000,14280732.000,11121791.000,22769611.000,30641878.000,39840605.000
1337619,2017-03-31,854145000.000,104366000.000,39479000.000,-12402000.000,-0.300,432339000.000,449346000.000,171702000.000,-16340000.000,-6098000.000,9001000.000,-3354000.000,33540000.000,157786000.000,43362037.000
1402857,2011-09-30,790134.000,321446.000,37248.000,,,,4454194.000,4429194.000,,,,-1005129.000,145835.000,437800.000,
884614,2017-03-31,11385500000.000,1940300000.000,637800000.000,232200000.000,1.240,2948400000.000,7448100000.000,1367800000.000,,,,513200000.000,5298600000.000,2173800000.000,177136000.000
